origin_tweet_full_text,retweet_count
"100.000 rakyatnya Terinfeksi Covid 19, Pemerintah Inggris Minta Ma'af.   1.000.000 Rakyatnya Terinfeksi  Covid 19, Pemerintah Indonesia Minta WAKAF...",13
"Mantul banget jawaban dari Pak Anies  ,bagi kelompok kolam aduk trs kolammu sampai buteg yaa🤣🤣🤣🤣 https://t.co/fVi6DJYOQM",13
Ya Allah kau lindungi la seluruh kaum muslim dan musliman dari wabak penyakit covid-19,13
Memasuki awal 2021 di Indonesia masih terlihat peningkatan pertambahan kasus Covid-19 https://t.co/QeHAwbPVXF,12
"Sayangi diri dan keluarga anda. Tumbuhkan dalam hati kalian bahwa menaati protokol kesehatan dan menerapkan 3M merupakan ikhtiar nyata kita untuk melindungi orang² terdekat, juga melindungi bangsa kita dari bahaya pandemi yang jauh lebih parah dari pandemic covid-19. (Vaksin) https://t.co/PQxOAnb4eE",12
"373.786 Orang Sudah Disuntik Vaksin Covid-19 Tahap II   Sudah ratusan ribu orang2 tertentu divaksin, dan belum ada keluhan tertetntu, berarti vaksin ini benar2 aman  Terima Vaksin Taati Prokes #PecatASNTerpaparRadikal  https://t.co/oYx2k59HqS",12
"Selain perihal vaksinasi, perhatian saya tersita pada yg dikenakan Pak Presiden, sungguh khas sekali, Indonesia bangeeett...yaitu kaos singlet. Apalagi dengan perpaduan merah-putih..

Semoga tetap dan terus sehat, Pak, serta dijaga dan dilindungiNya.. https://t.co/3Z5Jz0K8Mt",11
"Aneh, pdhl cm ada 1 klaster yaitu klaster petamburan. Tp bs dbawah bangladesh negara yg di youtube aja gada tempat rekreasinya. https://t.co/wM41Wkrzia",11
"Duh tambah serem aja.   Pandemi karena covid-19 belum berakhir, sekarang muncul virus baru. Virus Nipah muncul di Malaysia. Infonya virus ini lebih mematikan drpd covid.  Sluman, slumun, slamet. Tetap jaga kesehatan, dulur.  https://t.co/4FqOtttMt9",11
"Rakyat Malaysia bakal menerima #vaksin Covid-19 seawal Feb 2021. Namun masih ada banyak pertanyaan tentang isu keselamatan &amp; keberkesanan vaksin tersebut.  Ikuti FB Live https://t.co/ezBpbU21Pv pada Sabtu, 30 Jan, 3 ptg bagi merungkai mitos &amp; salah fakta tentang vaksin #Covid19 https://t.co/dtSXGgeMZa",11
